CytScore.log2,Taxane.MitosisScore,Taxane.CeramideScore,Taxane.FinalScore,STAT1.gsva,GGI.gsva,GEP.gsva,ESC.gsva,STAT1.ssgsea.norm,GGI.ssgsea.norm,GEP.ssgsea.norm,ESC.ssgsea.norm,STAT1.ssgsea.notnorm,GGI.ssgsea.notnorm,ESC.ssgsea.notnorm,Swanton.MitosisScore,Swanton.CeramideScore,Swanton.PaclitaxelScore,B2M,TAP1,TAP2,HLA.A,HLA.B,HLA.C,HLA.DPA1,HLA.DPB1,HLA.E,HLA.F,PD.1,CTLA.4,LAG3,TIGIT,TIM3,PD.L1,PD.L2,CD27,ICOS,IDO1,TIDE.Dysfunction,TIDE.Exclusion,TIDE.MDSC,TIDE.CAF,TIDE.TAM.M2,TIDE.IFNG,TIDE.CD274,TIDE.CD8
4.456,5.415150247,4.379907628,1.035242619,-0.181,0.657,0.14,0.515,1.417,1.72,1.581,1.751,20246.024,24571.873,25018.31,5.415150247,4.379907628,1.035242619,4.24433,2.32887,1.00731,3.79453,4.12171,4.14056,2.82564,2.95819,3.30347,1.86767,-0.7079,-0.39663,-0.89924,-0.50492,-0.94243,-0.37029,-0.45757,1.65906,0.27439,-0.98719,-0.45,-1.04,0.05,-0.24,0.03,-0.52,-0.61,-0.03
4.884,3.062127718,3.929183347,-0.867055629,0.482,0.127,0.667,0.109,1.557,1.537,1.715,1.678,22245.442,21959.723,23969.202,3.062127718,3.929183347,-0.867055629,5.12999,3.21041,1.46432,5.01139,5.36736,5.09583,3.57028,3.78586,4.29537,2.78919,-1.17668,-1.08555,-1.2225,-1.00737,-1.37742,-0.67039,-0.92906,2.3758,0.76959,-1.34403,1.32,-0.46,-0.03,-0.05,0.02,-0.03,-0.09,1.02
6.241,3.870402894,4.545305663,-0.674902769,0.713,0.578,0.83,0.39,1.676,1.618,1.808,1.71,23950.019,23121.337,24424.204,3.870402894,4.545305663,-0.674902769,5.3295,3.48512,1.97496,4.92673,5.1732,4.93841,3.64694,3.7881,4.38909,2.91494,-1.71906,-1.63436,-2.06621,-1.10919,-1.77172,-1.17091,-1.29305,2.40908,1.16196,-2.24938,1.3,-0.73,-0.02,-0.02,-0.06,1.4,1.03,1.32
2.837,1.824738536,5.041847202,-3.217108666,-0.578,-0.634,-0.609,-0.419,1.323,1.388,1.385,1.636,18899.004,19828.148,23376.349,1.824738536,5.041847202,-3.217108666,4.79268,2.16996,1.23899,4.21819,4.59192,4.25389,3.03758,3.21129,4.10769,2.12436,0.09756,-0.1187,-0.44118,0.44228,-0.84945,-0.25945,-0.88299,0.52697,-0.33794,-0.33109,0.06,0.7,0,0.08,0.06,-2.11,-0.92,-1.89
5.429,2.703973727,5.255781888,-2.551808161,0.71,-0.447,0.758,0.063,1.679,1.462,1.79,1.678,23989.043,20881.827,23980.372,2.703973727,5.255781888,-2.551808161,5.41307,3.26332,1.36302,4.87827,5.17308,4.60458,3.98671,3.93904,4.34286,2.79296,-1.48129,-1.34914,-1.56527,-1.40189,-1.92455,-1.20186,-1.54558,2.514,1.40434,-1.63397,0.55,-2.27,-0.12,-0.19,-0.04,0.83,0.86,1.36
4.91,3.189678314,4.335710051,-1.146031736,0.684,0.017,0.684,0.224,1.612,1.509,1.718,1.683,23035.877,21562.897,24047.755,3.189678314,4.335710051,-1.146031736,5.03945,3.06687,1.3211,4.86707,5.01845,4.84459,3.56425,3.67159,4.30543,2.50858,-1.1192,-1.20486,-1.33867,-1.1537,-1.59974,-0.73705,-1.01574,2.29714,1.14998,-1.47569,0.62,-0.82,-0.07,-0.06,0.01,0.36,0.06,1.27
4.508,2.722298424,4.770528156,-2.048229732,0.443,-0.259,0.553,-0.351,1.525,1.502,1.64,1.664,21793.42,21452.908,23768.794,2.722298424,4.770528156,-2.048229732,5.00381,2.65375,1.38445,4.65669,4.99939,4.73662,3.46248,3.79619,4.4196,2.45656,-1.01533,-0.75971,-0.66253,-0.7605,-2.04275,-0.45802,-0.81138,2.15684,0.53502,-0.41483,1.28,-0.83,-0.11,0.01,0,-1.12,-0.6,0.05
1.652,3.088085302,3.961441325,-0.873356023,-0.736,-0.376,-0.719,0.17,1.229,1.465,1.32,1.677,17563.095,20925.487,23959.452,3.088085302,3.961441325,-0.873356023,4.33157,2.01198,0.59585,3.91517,4.07666,3.98077,3.00229,3.13408,3.55647,1.7735,0.3315,0.17801,-0.17859,0.3385,-1.16763,-0.03011,-0.50687,0.43943,-0.2842,0.24065,-0.69,1.52,0.06,0.12,0.08,-2.57,-1.34,-2.04
3.141,3.671803315,3.244636106,0.427167209,-0.614,0.161,-0.575,0.047,1.35,1.58,1.452,1.721,19292.545,22570.117,24594.077,3.671803315,3.244636106,0.427167209,4.59313,2.18623,1.42237,4.5719,4.50937,4.5696,2.90182,3.08286,4.07287,2.3118,-0.17409,-0.00547,-0.15733,-0.15905,-0.94164,-0.0741,-0.65353,1.42043,-0.23469,-0.14619,0.18,1.18,0.07,0.07,0.06,-2.51,-1.32,-0.21
1.317,2.73057819,3.098113226,-0.367535036,-0.662,-0.502,-0.652,-0.447,1.288,1.493,1.344,1.684,18402.108,21335.266,24063.527,2.73057819,3.098113226,-0.367535036,4.94567,2.00181,1.0655,4.26479,4.60366,4.30617,3.18093,3.36926,4.13167,2.05079,0.31394,0.1267,0.28743,0.23406,-1.15184,-0.07298,-0.41754,0.52657,-0.27674,0.14114,-0.11,1.45,0.03,0.16,0.06,-2.92,-1.44,-2
4.374,1.445100508,4.146541088,-2.70144058,-0.34,-0.774,-0.235,-0.45,1.413,1.261,1.524,1.6,20187.112,18017.017,22856.761,1.445100508,4.146541088,-2.70144058,4.48999,2.26852,1.11485,4.33513,4.53582,4.30182,3.29012,3.56389,4.30315,2.32088,-0.82831,-0.7089,-0.52066,-0.30946,-1.21856,-0.24299,-0.82148,1.67846,0.23568,-0.41503,1.34,0.82,-0.05,0.17,0.03,-1.96,-0.89,-0.44
