Act.CD4,Act.CD8,Tem.CD4,Tem.CD8,MDSC,Treg,T cells,CD8 T cells,Cytotoxic lymphocytes,NK cells,B lineage,Monocytic lineage,Myeloid dendritic cells,Neutrophils,Endothelial cells,Fibroblasts,Danaher.B.cells,Danaher.CD45,Danaher.CD8.T.cells,Danaher.Cytotoxic.cells,Danaher.DC,Danaher.Exhausted.CD8,Danaher.Macrophages,Danaher.Mast.cells,Danaher.Neutrophils,Danaher.NK.CD56dim.cells,Danaher.NK.cells,Danaher.T.cells,Danaher.Th1.cells,Danaher.Treg
1.02237,1.42854,1.02986,1.30863,-1.68147,-1.02562,1.140553,3.0417,1.3573,-1.3083,1.46775,3.972086,-0.6995,0.889633,4.92067,9.46595,0.159,3.375,3.288,2.072,2.393,1.368,2.001,4.445,-2.269,-4.572,0.231,1.781,0.889,1.147
0.7779,1.01948,1.05911,1.2027,-1.56468,-0.95747,-0.507973,-0.1691,0.19992,-1.966325,-1.044,4.054071,-0.6955,0.37784,4.527176,9.78775,-2.047,1.904,0.997,0.167,1.793,-0.598,1.473,3.423,-2.003,-6.198,-1.263,-0.527,-1.194,1.955
0.8024,1.55667,1.13085,1.50877,-2.00155,-1.143,1.979667,1.7424,2.14262,-0.098725,1.446837,4.346543,1.9984,1.63768,5.157697,10.246712,1.085,4.551,3.017,3.232,4.655,2.342,2.513,5.531,0.286,-3.995,1.575,2.87,1.835,1.674
0.81802,0.94866,0.83238,1.03208,-1.35343,-0.75829,-0.950591,1.34883,-0.292834,-2.55689,-0.953351,2.67815,-2.316338,-0.175791,3.430225,8.956926,-2.383,0.945,1.619,-0.169,0.748,-0.314,-0.182,2.009,-3.438,-5.337,-1.931,-0.921,-1.69,2.1
1.04928,1.7631,1.02794,1.45599,-1.83079,-0.94984,2.646947,3.1564,2.6017,-0.2766,3.878675,4.287957,1.67754,1.60442,4.046161,8.734887,2.54,4.908,4.261,3.391,2.23,2.49,2.089,2.556,-1.036,-3.685,1.403,3.604,1.803,3.464
0.76216,1.36512,0.94915,1.05151,-1.80821,-0.79936,1.644467,1.197,1.5342,-0.927,2.530625,2.799571,0.9972,3.5238,4.655212,8.56175,1.123,3.836,1.882,1.916,1.736,1.136,1.417,2.625,1.639,-6.13,-0.786,2.156,0.885,3.165
1.23251,1.81952,0.97306,1.53024,-2.42127,-1.3766,1.7934,1.984,1.8586,-1.455,-1.392,5.309429,0.379,0.239333,2.143909,8.9735,-1.934,3.68,2.859,3.495,3.671,2.056,3.505,2.637,0.462,-3.07,1.201,2.723,1.832,4.221
0.81287,1.37742,0.93435,1.2779,-1.85008,-0.75073,1.053547,0.6702,1.68916,-1.3889,-0.324225,3.507643,-0.77942,1.70728,3.129203,7.608937,-0.993,3.626,2.371,2.282,0.991,1.631,1.824,1.505,-1.79,-4.38,0.67,2.056,0.814,3.236
0.97737,1.40774,1.15031,1.19078,-1.72905,-0.94121,1.310413,0.7,1.23168,-0.993475,1.697388,3.524471,1.22914,0.744327,4.530591,8.671175,0.386,3.429,1.444,1.822,1.698,0.846,0.995,4.306,-2.65,-3.598,-0.343,1.797,0.348,0.555
1.21533,1.44401,0.85076,1.16728,-1.85545,-0.93237,1.332727,1.404,1.1681,-1.22085,0.955025,4.543443,0.28978,0.590653,3.045558,7.568112,0.163,3.524,2.587,2.346,1.376,1.336,1.845,2.011,-1.622,-2.825,0.535,2.111,1.221,4.449
0.94219,1.37703,0.97272,1.28902,-1.64649,-0.89506,0.503427,1.668,1.49756,-1.302225,-0.068475,3.679257,-0.59982,0.638773,4.770342,9.109687,-0.536,2.848,2.35,2.094,1.828,1.036,1.579,2.974,-2.113,-4.554,-0.174,1.103,0.559,0.597
0.83517,1.16428,0.88406,1.18867,-2.02934,-1.08731,-0.303716,0.24687,0.145968,-2.575295,-2.655554,4.32024,-1.940826,1.074847,3.120901,9.724134,-3.824,2.573,1.489,1.367,0.607,0.355,2.214,3.764,-1.092,-5.715,-1.033,0.601,-0.27,1.608
0.90269,1.52697,0.9329,1.2726,-1.85857,-0.91083,1.67754,2.0754,1.1908,-1.5495,2.8545,3.4217,0.71592,1.339827,3.165703,8.857038,1.674,4.231,3.246,2.442,0.343,1.297,1.232,2.16,-2.689,-6.903,0.174,2.761,1.131,3.498
0.94669,1.52819,0.94188,1.19783,-1.64393,-0.68248,1.108667,1.8708,1.7495,-0.793725,2.385225,3.473986,0.57464,0.515807,3.567485,7.866062,0.978,3.886,2.597,2.317,1.617,1.178,-0.076,4.52,-1.849,-4.691,0.474,2.278,0.748,1.898
1.31554,1.56778,0.93628,1.34807,-1.7716,-0.90722,0.999543,2.04767,1.435102,-1.52127,1.005735,4.417547,-0.043938,-0.005563,3.253377,7.414002,-0.101,3.831,2.839,2.223,1.359,1.634,1.905,-2.793,-2.51,-5.745,0.346,2.147,0.872,2.557
1.36617,1.41978,1.11004,1.32487,-1.96031,-1.26646,0.535973,1.684,1.45196,-2.240025,-0.31545,4.9133,-1.7234,0.387867,3.312688,8.546413,-1.287,4.046,2.747,2.438,1.422,1.392,2.807,0.028,0.324,-5.842,-0.143,1.588,0.423,2.293
1.14622,1.7995,1.15041,1.50428,-1.95837,-0.98856,3.19984,3.4784,2.97396,-0.1347,4.279,4.012957,1.32638,1.1745,4.287961,9.748738,2.743,5.55,4.399,3.606,2.265,2.588,1.809,4.798,-0.588,-2.026,1.741,4.317,2.632,3.768
1.2701,1.88668,0.91956,1.38129,-2.12665,-0.94993,3.136227,3.534,2.40894,0.194525,5.320862,4.467543,1.51242,1.942353,3.075324,7.6102,3.412,5.362,4.129,2.986,1.958,2.426,1.691,2.91,-0.205,-3.087,1.406,4.077,1.876,3.772
1.2731,1.92955,1.06549,1.56011,-1.99689,-1.07701,3.33602,3.0143,2.42454,-0.15045,5.170125,4.373629,2.38594,1.0249,3.414909,7.63975,3.85,5.716,3.782,3.443,2.181,2.202,1.818,5.852,-1.241,-2.788,1.74,4.209,2.675,4.516
1.1106,1.77248,1.20306,1.60071,-2.23451,-1.23382,3.2014,2.612,2.538,0.56875,4.359625,4.325143,3.0796,1.351267,4.853242,9.982375,3.294,5.737,3.39,3.468,2.856,2.408,1.799,3.987,-0.686,-2.858,1.946,4.078,2.201,3.928
0.93321,1.06339,1.0046,1.1483,-1.97803,-0.95781,-0.138647,0.5381,0.1677,-2.760825,-1.598288,4.688657,-2.47568,0.916727,3.563709,8.014925,-2.985,3.431,1.096,0.424,1.392,0.791,2.271,3.161,-0.966,-5.987,-1.711,0.325,-1.407,0.894
1.26899,1.19706,1.02393,1.26003,-1.76117,-1.18566,1.1438,2.957,1.4298,-1.5405,1.1075,4.180571,0.7182,-0.309867,3.119242,9.076875,0.065,4.207,3.119,1.753,1.637,1.054,2.169,1.255,-1.094,-3.399,0.309,1.822,0.876,2.743
1.33319,1.55237,1.14785,1.43959,-1.98314,-1.0917,1.464307,1.8499,1.7465,-0.963775,1.354838,5.075514,0.24112,0.474893,3.51187,8.005463,0.447,4.754,2.51,2.027,0.869,1.317,2.594,5.196,-1.011,-6.148,0.229,2.572,0.392,2.623
1.09636,1.1918,0.91321,1.05794,-1.47669,-0.94559,-0.59798,-1.3981,-0.95672,-2.738225,-0.79525,4.016557,-0.95218,-0.044113,2.103109,8.511988,-2.599,2.208,-0.322,-0.41,1.283,0.65,1.975,2.625,-1.518,-5.068,-2.121,-0.073,-1.112,2.483
0.93304,1.2827,1.0385,1.27958,-2.08916,-1.20612,0.930327,-0.196,1.20356,-2.3021,1.4522,5.458186,-0.05554,1.53672,3.628288,8.766875,0.088,4.142,1.052,1.664,1.723,0.825,2.881,2.394,-0.729,-4.24,-1.136,1.533,0.156,2.998
